payment_id,amount_inr,status,failure_reason,attempts,customer_type,expected_recovery,recommended_action,created_at
PAY1000,999,SUCCESS,,1,EXISTING,0,NONE,2026-08-01 00:00:00
PAY1001,2499,SUCCESS,,1,NEW,0,NONE,2026-08-01 04:00:00
PAY1002,299,SUCCESS,,1,EXISTING,0,NONE,2026-08-01 08:00:00
PAY1003,3999,SUCCESS,,2,NEW,0,NONE,2026-08-01 12:00:00
PAY1004,4999,SUCCESS,,1,NEW,0,NONE,2026-08-01 16:00:00
PAY1005,799,SUCCESS,,1,NEW,0,NONE,2026-08-01 20:00:00
PAY1006,999,SUCCESS,,1,NEW,0,NONE,2026-08-02 00:00:00
PAY1007,499,SUCCESS,,1,NEW,0,NONE,2026-08-02 04:00:00
PAY1008,1499,SUCCESS,,1,EXISTING,0,NONE,2026-08-02 08:00:00
PAY1009,1499,SUCCESS,,1,EXISTING,0,NONE,2026-08-02 12:00:00
PAY1010,2499,SUCCESS,,1,NEW,0,NONE,2026-08-02 16:00:00
PAY1011,8999,SUCCESS,,1,EXISTING,0,NONE,2026-08-02 20:00:00
PAY1012,999,SUCCESS,,1,NEW,0,NONE,2026-08-03 00:00:00
PAY1013,1499,SUCCESS,,1,NEW,0,NONE,2026-08-03 04:00:00
PAY1014,299,SUCCESS,,1,EXISTING,0,NONE,2026-08-03 08:00:00
PAY1015,2499,SUCCESS,,1,NEW,0,NONE,2026-08-03 12:00:00
PAY1016,1499,SUCCESS,,2,NEW,0,NONE,2026-08-03 16:00:00
PAY1017,3999,SUCCESS,,1,EXISTING,0,NONE,2026-08-03 20:00:00
PAY1018,2499,SUCCESS,,1,EXISTING,0,NONE,2026-08-04 00:00:00
PAY1019,799,SUCCESS,,1,NEW,0,NONE,2026-08-04 04:00:00
PAY1020,999,SUCCESS,,1,NEW,0,NONE,2026-08-04 08:00:00
PAY1021,999,SUCCESS,,1,NEW,0,NONE,2026-08-04 12:00:00
PAY1022,499,SUCCESS,,1,EXISTING,0,NONE,2026-08-04 16:00:00
PAY1023,12999,SUCCESS,,1,EXISTING,0,NONE,2026-08-04 20:00:00
PAY1024,299,SUCCESS,,1,EXISTING,0,NONE,2026-08-05 00:00:00
PAY1025,3999,SUCCESS,,1,EXISTING,0,NONE,2026-08-05 04:00:00
PAY1026,999,SUCCESS,,1,NEW,0,NONE,2026-08-05 08:00:00
PAY1027,2499,SUCCESS,,1,NEW,0,NONE,2026-08-05 12:00:00
PAY1028,999,SUCCESS,,1,NEW,0,NONE,2026-08-05 16:00:00
PAY1029,2499,SUCCESS,,1,EXISTING,0,NONE,2026-08-05 20:00:00
PAY1030,499,SUCCESS,,1,EXISTING,0,NONE,2026-08-06 00:00:00
PAY1031,2499,SUCCESS,,1,EXISTING,0,NONE,2026-08-06 04:00:00
PAY1032,1499,SUCCESS,,1,EXISTING,0,NONE,2026-08-06 08:00:00
PAY1033,499,SUCCESS,,1,NEW,0,NONE,2026-08-06 12:00:00
PAY1034,999,SUCCESS,,2,EXISTING,0,NONE,2026-08-06 16:00:00
PAY1035,799,SUCCESS,,1,EXISTING,0,NONE,2026-08-06 20:00:00
PAY1036,799,SUCCESS,,1,NEW,0,NONE,2026-08-07 00:00:00
PAY1037,499,SUCCESS,,1,EXISTING,0,NONE,2026-08-07 04:00:00
PAY1038,2499,SUCCESS,,1,EXISTING,0,NONE,2026-08-07 08:00:00
PAY1039,799,SUCCESS,,1,EXISTING,0,NONE,2026-08-07 12:00:00
PAY1040,4999,SUCCESS,,1,EXISTING,0,NONE,2026-08-07 16:00:00
PAY1041,499,SUCCESS,,1,NEW,0,NONE,2026-08-07 20:00:00
PAY1042,4999,SUCCESS,,1,EXISTING,0,NONE,2026-08-08 00:00:00
PAY1043,1499,SUCCESS,,1,EXISTING,0,NONE,2026-08-08 04:00:00
PAY1044,499,SUCCESS,,2,NEW,0,NONE,2026-08-08 08:00:00
PAY1045,999,SUCCESS,,1,EXISTING,0,NONE,2026-08-08 12:00:00
PAY1046,999,SUCCESS,,2,EXISTING,0,NONE,2026-08-08 16:00:00
PAY1047,799,SUCCESS,,1,EXISTING,0,NONE,2026-08-08 20:00:00
PAY1048,799,SUCCESS,,1,NEW,0,NONE,2026-08-09 00:00:00
PAY1049,1499,SUCCESS,,1,NEW,0,NONE,2026-08-09 04:00:00
PAY1050,8999,SUCCESS,,1,NEW,0,NONE,2026-08-09 08:00:00
PAY1051,1499,SUCCESS,,1,EXISTING,0,NONE,2026-08-09 12:00:00
PAY1052,2499,SUCCESS,,1,EXISTING,0,NONE,2026-08-09 16:00:00
PAY1053,3999,SUCCESS,,1,EXISTING,0,NONE,2026-08-09 20:00:00
PAY1054,2499,SUCCESS,,1,EXISTING,0,NONE,2026-08-10 00:00:00
PAY1055,4999,SUCCESS,,1,NEW,0,NONE,2026-08-10 04:00:00
PAY1056,299,SUCCESS,,1,EXISTING,0,NONE,2026-08-10 08:00:00
PAY1057,299,SUCCESS,,1,EXISTING,0,NONE,2026-08-10 12:00:00
PAY1058,2499,SUCCESS,,1,NEW,0,NONE,2026-08-10 16:00:00
PAY1059,999,SUCCESS,,1,EXISTING,0,NONE,2026-08-10 20:00:00
PAY1060,999,SUCCESS,,2,NEW,0,NONE,2026-08-11 00:00:00
PAY1061,8999,SUCCESS,,1,NEW,0,NONE,2026-08-11 04:00:00
PAY1062,4999,SUCCESS,,1,EXISTING,0,NONE,2026-08-11 08:00:00
PAY1063,799,SUCCESS,,1,NEW,0,NONE,2026-08-11 12:00:00
PAY1064,8999,SUCCESS,,1,EXISTING,0,NONE,2026-08-11 16:00:00
PAY1065,999,SUCCESS,,1,EXISTING,0,NONE,2026-08-11 20:00:00
PAY1066,8999,SUCCESS,,1,EXISTING,0,NONE,2026-08-12 00:00:00
PAY1067,499,SUCCESS,,1,NEW,0,NONE,2026-08-12 04:00:00
PAY1068,2499,SUCCESS,,1,NEW,0,NONE,2026-08-12 08:00:00
PAY1069,2499,SUCCESS,,1,NEW,0,NONE,2026-08-12 12:00:00
PAY1070,1499,SUCCESS,,1,EXISTING,0,NONE,2026-08-12 16:00:00
PAY1071,799,SUCCESS,,1,EXISTING,0,NONE,2026-08-12 20:00:00
PAY1072,999,SUCCESS,,1,EXISTING,0,NONE,2026-08-13 00:00:00
PAY1073,4999,SUCCESS,,1,EXISTING,0,NONE,2026-08-13 04:00:00
PAY1074,499,SUCCESS,,1,EXISTING,0,NONE,2026-08-13 08:00:00
PAY1075,799,SUCCESS,,1,EXISTING,0,NONE,2026-08-13 12:00:00
PAY1076,8999,SUCCESS,,1,EXISTING,0,NONE,2026-08-13 16:00:00
PAY1077,1499,SUCCESS,,1,EXISTING,0,NONE,2026-08-13 20:00:00
PAY1078,799,SUCCESS,,1,EXISTING,0,NONE,2026-08-14 00:00:00
PAY1079,299,SUCCESS,,1,EXISTING,0,NONE,2026-08-14 04:00:00
PAY1080,8999,SUCCESS,,2,EXISTING,0,NONE,2026-08-14 08:00:00
PAY1081,999,SUCCESS,,2,NEW,0,NONE,2026-08-14 12:00:00
PAY1082,999,SUCCESS,,2,EXISTING,0,NONE,2026-08-14 16:00:00
PAY1083,4999,SUCCESS,,1,NEW,0,NONE,2026-08-14 20:00:00
PAY1084,4999,SUCCESS,,1,NEW,0,NONE,2026-08-15 00:00:00
PAY1085,1499,SUCCESS,,1,EXISTING,0,NONE,2026-08-15 04:00:00
PAY1086,2499,SUCCESS,,1,NEW,0,NONE,2026-08-15 08:00:00
PAY1087,12999,SUCCESS,,1,NEW,0,NONE,2026-08-15 12:00:00
PAY1088,8999,SUCCESS,,1,EXISTING,0,NONE,2026-08-15 16:00:00
PAY1089,3999,SUCCESS,,1,EXISTING,0,NONE,2026-08-15 20:00:00
PAY1090,4999,SUCCESS,,1,EXISTING,0,NONE,2026-08-16 00:00:00
PAY1091,8999,SUCCESS,,1,EXISTING,0,NONE,2026-08-16 04:00:00
PAY1092,4999,SUCCESS,,1,EXISTING,0,NONE,2026-08-16 08:00:00
PAY1093,4999,SUCCESS,,1,EXISTING,0,NONE,2026-08-16 12:00:00
PAY1094,999,SUCCESS,,1,NEW,0,NONE,2026-08-16 16:00:00
PAY1095,299,SUCCESS,,1,EXISTING,0,NONE,2026-08-16 20:00:00
PAY1096,799,SUCCESS,,1,EXISTING,0,NONE,2026-08-17 00:00:00
PAY1097,299,SUCCESS,,1,EXISTING,0,NONE,2026-08-17 04:00:00
PAY1098,499,SUCCESS,,1,EXISTING,0,NONE,2026-08-17 08:00:00
PAY1099,799,SUCCESS,,1,EXISTING,0,NONE,2026-08-17 12:00:00
PAY1100,299,FAILED,TIMEOUT,1,EXISTING,1,RETRY,2026-08-17 16:00:00
PAY1101,3999,FAILED,TIMEOUT,1,EXISTING,1,RETRY,2026-08-17 20:00:00
PAY1102,4999,FAILED,PAYMENT_METHOD_DECLINED,1,NEW,1,REMIND,2026-08-18 00:00:00
PAY1103,12999,FAILED,INSUFFICIENT_FUNDS,1,EXISTING,1,REMIND,2026-08-18 04:00:00
PAY1104,499,FAILED,TIMEOUT,1,NEW,1,RETRY,2026-08-18 08:00:00
PAY1105,2499,FAILED,ALREADY_RECOVERED,2,NEW,0,STOP,2026-08-18 12:00:00
PAY1106,2499,FAILED,INSUFFICIENT_FUNDS,1,EXISTING,0,REMIND,2026-08-18 16:00:00
PAY1107,499,FAILED,PAYMENT_METHOD_DECLINED,1,NEW,1,REMIND,2026-08-18 20:00:00
PAY1108,999,FAILED,NETWORK_ERROR,1,EXISTING,1,RETRY,2026-08-19 00:00:00
PAY1109,3999,FAILED,PAYMENT_METHOD_DECLINED,1,EXISTING,0,REMIND,2026-08-19 04:00:00
PAY1110,299,FAILED,REPEATED_FAILURE,5,EXISTING,1,ESCALATE,2026-08-19 08:00:00
PAY1111,8999,FAILED,TIMEOUT,1,EXISTING,1,RETRY,2026-08-19 12:00:00
PAY1112,2499,FAILED,ALREADY_RECOVERED,3,EXISTING,0,STOP,2026-08-19 16:00:00
