payment_id,amount_inr,original_status,failure_reason,attempts,diagnosis,action,confidence,result,recovered_amount_inr,stopping_rule
PAY1000,999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1001,2499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1002,299.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1003,3999.0,SUCCESS,,2,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1004,4999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1005,799.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1006,999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1007,499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1008,1499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1009,1499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1010,2499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1011,8999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1012,999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1013,1499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1014,299.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1015,2499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1016,1499.0,SUCCESS,,2,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1017,3999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1018,2499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1019,799.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1020,999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1021,999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1022,499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1023,12999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1024,299.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1025,3999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1026,999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1027,2499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1028,999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1029,2499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1030,499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1031,2499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1032,1499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1033,499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1034,999.0,SUCCESS,,2,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1035,799.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1036,799.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1037,499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1038,2499.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1039,799.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
PAY1040,4999.0,SUCCESS,,1,Payment is already successful.,STOP,1.0,NO_ACTION,0.0,Already successful
